[2019-11-17 11:37:30.326375] [info] Loading certificate content...
[2019-11-17 11:37:30.326746] [debug] Certificate content loaded!
[2019-11-17 11:37:30.329744] [debug] Xero config loaded!
[2019-11-17 11:37:31.675096] [info] Xero data retrieved!
[2019-11-17 11:37:31.678822] [debug] Received data count: 45
[2019-11-17 11:37:31.679037] [debug] Original entry field count: 13
[2019-11-17 11:37:31.679188] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.679347] [debug] Original entry field count: 9
[2019-11-17 11:37:31.679481] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.679625] [debug] Original entry field count: 9
[2019-11-17 11:37:31.679833] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.679977] [debug] Original entry field count: 9
[2019-11-17 11:37:31.680119] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.680258] [debug] Original entry field count: 10
[2019-11-17 11:37:31.680386] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.680516] [debug] Original entry field count: 9
[2019-11-17 11:37:31.680639] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.680767] [debug] Original entry field count: 9
[2019-11-17 11:37:31.680891] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.681020] [debug] Original entry field count: 9
[2019-11-17 11:37:31.681149] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.681277] [debug] Original entry field count: 10
[2019-11-17 11:37:31.681402] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.681536] [debug] Original entry field count: 9
[2019-11-17 11:37:31.681670] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.681821] [debug] Original entry field count: 9
[2019-11-17 11:37:31.682044] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.682262] [debug] Original entry field count: 9
[2019-11-17 11:37:31.682472] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.682687] [debug] Original entry field count: 10
[2019-11-17 11:37:31.682899] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.683100] [debug] Original entry field count: 9
[2019-11-17 11:37:31.683303] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.683520] [debug] Original entry field count: 9
[2019-11-17 11:37:31.683773] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.684010] [debug] Original entry field count: 9
[2019-11-17 11:37:31.684231] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.684457] [debug] Original entry field count: 10
[2019-11-17 11:37:31.684673] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.684812] [debug] Original entry field count: 11
[2019-11-17 11:37:31.684938] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.685070] [debug] Original entry field count: 10
[2019-11-17 11:37:31.685195] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.685327] [debug] Original entry field count: 10
[2019-11-17 11:37:31.685452] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.685585] [debug] Original entry field count: 10
[2019-11-17 11:37:31.685710] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.685839] [debug] Original entry field count: 9
[2019-11-17 11:37:31.685966] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.686100] [debug] Original entry field count: 10
[2019-11-17 11:37:31.686228] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.686356] [debug] Original entry field count: 9
[2019-11-17 11:37:31.686482] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.686614] [debug] Original entry field count: 9
[2019-11-17 11:37:31.686742] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.686873] [debug] Original entry field count: 11
[2019-11-17 11:37:31.687000] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.687129] [debug] Original entry field count: 13
[2019-11-17 11:37:31.687257] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.687382] [debug] Original entry field count: 12
[2019-11-17 11:37:31.687505] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.687633] [debug] Original entry field count: 9
[2019-11-17 11:37:31.687841] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.687978] [debug] Original entry field count: 11
[2019-11-17 11:37:31.688100] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.688227] [debug] Original entry field count: 9
[2019-11-17 11:37:31.688352] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.688481] [debug] Original entry field count: 10
[2019-11-17 11:37:31.688602] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.688730] [debug] Original entry field count: 11
[2019-11-17 11:37:31.688855] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.688982] [debug] Original entry field count: 9
[2019-11-17 11:37:31.689111] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.689243] [debug] Original entry field count: 19
[2019-11-17 11:37:31.689367] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.689493] [debug] Original entry field count: 11
[2019-11-17 11:37:31.689639] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.689817] [debug] Original entry field count: 9
[2019-11-17 11:37:31.689944] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.690073] [debug] Original entry field count: 10
[2019-11-17 11:37:31.690200] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.690536] [debug] Original entry field count: 11
[2019-11-17 11:37:31.690680] [debug] Cleaned entry field count: 2
[2019-11-17 11:37:31.690814] [debug] Original entry field count: 9
